Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227574020 , Gap_End_1 : 1457645565 , Gap_End_2 : 1457647184, GeoHash : gbsg1x, Lon1 : 48.38216 , Lat1 : -4.4970617, Lon2 : 48.3797 , Lat2 : -4.4974666 }
Suspicious RendezVous : { Vessel_1 : 227008170, Vessel_2 : 227003050 , Gap_End_1 : 1457647189 , Gap_End_2 : 1457647190, GeoHash : gbsg1z, Lon1 : 48.381584 , Lat1 : -4.4861484, Lon2 : 48.38114 , Lat2 : -4.48575 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227705102 , Gap_End_1 : 1457647184 , Gap_End_2 : 1457647214, GeoHash : gbsg1x, Lon1 : 48.3797 , Lat1 : -4.4974666, Lon2 : 48.382168 , Lat2 : -4.4971166 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227574020 , Gap_End_1 : 1457647214 , Gap_End_2 : 1457651464, GeoHash : gbsg1x, Lon1 : 48.382168 , Lat1 : -4.4971166, Lon2 : 48.37978 , Lat2 : -4.4975066 }
Suspicious RendezVous : { Vessel_1 : 227003050, Vessel_2 : 227008170 , Gap_End_1 : 1457647190 , Gap_End_2 : 1457651478, GeoHash : gbsg1z, Lon1 : 48.38114 , Lat1 : -4.48575, Lon2 : 48.381565 , Lat2 : -4.4861484 }
Suspicious RendezVous : { Vessel_1 : 227003050, Vessel_2 : 227008170 , Gap_End_1 : 1457651471 , Gap_End_2 : 1457651478, GeoHash : gbsg1z, Lon1 : 48.38109 , Lat1 : -4.4857316, Lon2 : 48.381565 , Lat2 : -4.4861484 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227705102 , Gap_End_1 : 1457651464 , Gap_End_2 : 1457651495, GeoHash : gbsg1x, Lon1 : 48.37978 , Lat1 : -4.4975066, Lon2 : 48.382126 , Lat2 : -4.4970117 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227580520 , Gap_End_1 : 1457651495 , Gap_End_2 : 1457651514, GeoHash : gbsg1x, Lon1 : 48.382126 , Lat1 : -4.4970117, Lon2 : 48.379566 , Lat2 : -4.4971166 }
Suspicious RendezVous : { Vessel_1 : 227580520, Vessel_2 : 227574020 , Gap_End_1 : 1457651514 , Gap_End_2 : 1457655423, GeoHash : gbsg1x, Lon1 : 48.379566 , Lat1 : -4.4971166, Lon2 : 48.379787 , Lat2 : -4.497482 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227705102 , Gap_End_1 : 1457655423 , Gap_End_2 : 1457655426, GeoHash : gbsg1x, Lon1 : 48.379787 , Lat1 : -4.497482, Lon2 : 48.382145 , Lat2 : -4.49712 }
Suspicious RendezVous : { Vessel_1 : 227008170, Vessel_2 : 227003050 , Gap_End_1 : 1457651478 , Gap_End_2 : 1457655431, GeoHash : gbsg1z, Lon1 : 48.381565 , Lat1 : -4.4861484, Lon2 : 48.38112 , Lat2 : -4.48575 }
Suspicious RendezVous : { Vessel_1 : 227008170, Vessel_2 : 227003050 , Gap_End_1 : 1457655430 , Gap_End_2 : 1457655431, GeoHash : gbsg1z, Lon1 : 48.38155 , Lat1 : -4.486115, Lon2 : 48.38112 , Lat2 : -4.48575 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227580520 , Gap_End_1 : 1457655426 , Gap_End_2 : 1457655575, GeoHash : gbsg1x, Lon1 : 48.382145 , Lat1 : -4.49712, Lon2 : 48.379562 , Lat2 : -4.49705 }
Suspicious RendezVous : { Vessel_1 : 228293000, Vessel_2 : 228160000 , Gap_End_1 : 1457647234 , Gap_End_2 : 1457656319, GeoHash : gbscte, Lon1 : 48.09805 , Lat1 : -4.324565, Lon2 : 48.098133 , Lat2 : -4.3249483 }
Suspicious RendezVous : { Vessel_1 : 227003050, Vessel_2 : 227008170 , Gap_End_1 : 1457655431 , Gap_End_2 : 1457662759, GeoHash : gbsg1z, Lon1 : 48.38112 , Lat1 : -4.48575, Lon2 : 48.381516 , Lat2 : -4.4861317 }
Suspicious RendezVous : { Vessel_1 : 227008170, Vessel_2 : 227003050 , Gap_End_1 : 1457662759 , Gap_End_2 : 1457662761, GeoHash : gbsg1z, Lon1 : 48.381516 , Lat1 : -4.4861317, Lon2 : 48.381134 , Lat2 : -4.48569 }
Suspicious RendezVous : { Vessel_1 : 227580520, Vessel_2 : 227705102 , Gap_End_1 : 1457655575 , Gap_End_2 : 1457662764, GeoHash : gbsg1x, Lon1 : 48.379562 , Lat1 : -4.49705, Lon2 : 48.38217 , Lat2 : -4.497075 }
Suspicious RendezVous : { Vessel_1 : 227580520, Vessel_2 : 227705102 , Gap_End_1 : 1457662755 , Gap_End_2 : 1457662764, GeoHash : gbsg1x, Lon1 : 48.379574 , Lat1 : -4.4970784, Lon2 : 48.38217 , Lat2 : -4.497075 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227574020 , Gap_End_1 : 1457662764 , Gap_End_2 : 1457662765, GeoHash : gbsg1x, Lon1 : 48.38217 , Lat1 : -4.497075, Lon2 : 48.379826 , Lat2 : -4.4974685 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227705102 , Gap_End_1 : 1457662765 , Gap_End_2 : 1457672505, GeoHash : gbsg1x, Lon1 : 48.379826 , Lat1 : -4.4974685, Lon2 : 48.382187 , Lat2 : -4.4970384 }
Suspicious RendezVous : { Vessel_1 : 227003050, Vessel_2 : 227008170 , Gap_End_1 : 1457662761 , Gap_End_2 : 1457672508, GeoHash : gbsg1z, Lon1 : 48.381134 , Lat1 : -4.48569, Lon2 : 48.381584 , Lat2 : -4.4860983 }
Suspicious RendezVous : { Vessel_1 : 227008170, Vessel_2 : 227003050 , Gap_End_1 : 1457672508 , Gap_End_2 : 1457672511, GeoHash : gbsg1z, Lon1 : 48.381584 , Lat1 : -4.4860983, Lon2 : 48.381165 , Lat2 : -4.485717 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227580520 , Gap_End_1 : 1457672505 , Gap_End_2 : 1457672514, GeoHash : gbsg1x, Lon1 : 48.382187 , Lat1 : -4.4970384, Lon2 : 48.379566 , Lat2 : -4.497075 }
Suspicious RendezVous : { Vessel_1 : 227580520, Vessel_2 : 227574020 , Gap_End_1 : 1457672514 , Gap_End_2 : 1457672535, GeoHash : gbsg1x, Lon1 : 48.379566 , Lat1 : -4.497075, Lon2 : 48.379803 , Lat2 : -4.497482 }
Suspicious RendezVous : { Vessel_1 : 227003050, Vessel_2 : 227008170 , Gap_End_1 : 1457672511 , Gap_End_2 : 1457679209, GeoHash : gbsg1z, Lon1 : 48.381165 , Lat1 : -4.485717, Lon2 : 48.381268 , Lat2 : -4.485515 }
Suspicious RendezVous : { Vessel_1 : 227008170, Vessel_2 : 227730220 , Gap_End_1 : 1457679209 , Gap_End_2 : 1457679250, GeoHash : gbsg1z, Lon1 : 48.381268 , Lat1 : -4.485515, Lon2 : 48.38069 , Lat2 : -4.487283 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227580520 , Gap_End_1 : 1457672535 , Gap_End_2 : 1457685996, GeoHash : gbsg1x, Lon1 : 48.379803 , Lat1 : -4.497482, Lon2 : 48.379475 , Lat2 : -4.497073 }
Suspicious RendezVous : { Vessel_1 : 227580520, Vessel_2 : 227574020 , Gap_End_1 : 1457685996 , Gap_End_2 : 1457686000, GeoHash : gbsg1x, Lon1 : 48.379475 , Lat1 : -4.497073, Lon2 : 48.38365 , Lat2 : -4.49529 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227705102 , Gap_End_1 : 1457686000 , Gap_End_2 : 1457686003, GeoHash : gbsg1x, Lon1 : 48.38365 , Lat1 : -4.49529, Lon2 : 48.382412 , Lat2 : -4.496587 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227635210 , Gap_End_1 : 1457686003 , Gap_End_2 : 1457686012, GeoHash : gbsg1x, Lon1 : 48.382412 , Lat1 : -4.496587, Lon2 : 48.38216 , Lat2 : -4.497045 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227580520 , Gap_End_1 : 1457697031 , Gap_End_2 : 1457697037, GeoHash : gbsg1x, Lon1 : 48.382465 , Lat1 : -4.4966617, Lon2 : 48.3796 , Lat2 : -4.4970016 }
Suspicious RendezVous : { Vessel_1 : 227580520, Vessel_2 : 227574020 , Gap_End_1 : 1457697037 , Gap_End_2 : 1457697040, GeoHash : gbsg1x, Lon1 : 48.3796 , Lat1 : -4.4970016, Lon2 : 48.383648 , Lat2 : -4.4953084 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227580520 , Gap_End_1 : 1457697040 , Gap_End_2 : 1457725457, GeoHash : gbsg1x, Lon1 : 48.383648 , Lat1 : -4.4953084, Lon2 : 48.379517 , Lat2 : -4.4970818 }
Suspicious RendezVous : { Vessel_1 : 227580520, Vessel_2 : 227574020 , Gap_End_1 : 1457725457 , Gap_End_2 : 1457725462, GeoHash : gbsg1x, Lon1 : 48.379517 , Lat1 : -4.4970818, Lon2 : 48.38365 , Lat2 : -4.4952765 }
Suspicious RendezVous : { Vessel_1 : 227730220, Vessel_2 : 227003050 , Gap_End_1 : 1457697972 , Gap_End_2 : 1457746707, GeoHash : gbsg1z, Lon1 : 48.379326 , Lat1 : -4.4843016, Lon2 : 48.381115 , Lat2 : -4.4856415 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227580520 , Gap_End_1 : 1457725462 , Gap_End_2 : 1457746737, GeoHash : gbsg1x, Lon1 : 48.38365 , Lat1 : -4.4952765, Lon2 : 48.379635 , Lat2 : -4.4971285 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227580520 , Gap_End_1 : 1457746703 , Gap_End_2 : 1457746737, GeoHash : gbsg1x, Lon1 : 48.383606 , Lat1 : -4.49532, Lon2 : 48.379635 , Lat2 : -4.4971285 }
Suspicious RendezVous : { Vessel_1 : 228109000, Vessel_2 : 228195000 , Gap_End_1 : 1457709812 , Gap_End_2 : 1457746856, GeoHash : gbs6t6, Lon1 : 48.266094 , Lat1 : -5.03469, Lon2 : 48.263615 , Lat2 : -5.0335817 }
Suspicious RendezVous : { Vessel_1 : 227580520, Vessel_2 : 227574020 , Gap_End_1 : 1457746737 , Gap_End_2 : 1457785569, GeoHash : gbsg1x, Lon1 : 48.379635 , Lat1 : -4.4971285, Lon2 : 48.383648 , Lat2 : -4.4953084 }
Suspicious RendezVous : { Vessel_1 : 227580520, Vessel_2 : 227574020 , Gap_End_1 : 1457767767 , Gap_End_2 : 1457785569, GeoHash : gbsg1x, Lon1 : 48.37954 , Lat1 : -4.4970665, Lon2 : 48.383648 , Lat2 : -4.4953084 }
Suspicious RendezVous : { Vessel_1 : 227580520, Vessel_2 : 227574020 , Gap_End_1 : 1457785556 , Gap_End_2 : 1457785569, GeoHash : gbsg1x, Lon1 : 48.37954 , Lat1 : -4.4970384, Lon2 : 48.383648 , Lat2 : -4.4953084 }
Suspicious RendezVous : { Vessel_1 : 227003050, Vessel_2 : 227016100 , Gap_End_1 : 1457725458 , Gap_End_2 : 1457813527, GeoHash : gbsdzp, Lon1 : 48.337166 , Lat1 : -4.6048965, Lon2 : 48.3355 , Lat2 : -4.607075 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227580520 , Gap_End_1 : 1457785569 , Gap_End_2 : 1457813547, GeoHash : gbsg1x, Lon1 : 48.383648 , Lat1 : -4.4953084, Lon2 : 48.3795 , Lat2 : -4.4971085 }
Suspicious RendezVous : { Vessel_1 : 227580520, Vessel_2 : 227574020 , Gap_End_1 : 1457813547 , Gap_End_2 : 1457813559, GeoHash : gbsg1x, Lon1 : 48.3795 , Lat1 : -4.4971085, Lon2 : 48.3837 , Lat2 : -4.4953566 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227580520 , Gap_End_1 : 1457813559 , Gap_End_2 : 1457846497, GeoHash : gbsg1x, Lon1 : 48.3837 , Lat1 : -4.4953566, Lon2 : 48.37957 , Lat2 : -4.4970465 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227580520 , Gap_End_1 : 1457846489 , Gap_End_2 : 1457846497, GeoHash : gbsg1x, Lon1 : 48.383648 , Lat1 : -4.4953384, Lon2 : 48.37957 , Lat2 : -4.4970465 }
Suspicious RendezVous : { Vessel_1 : 227580520, Vessel_2 : 227574020 , Gap_End_1 : 1457846497 , Gap_End_2 : 1457868109, GeoHash : gbsg1x, Lon1 : 48.37957 , Lat1 : -4.4970465, Lon2 : 48.383675 , Lat2 : -4.49531 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227580520 , Gap_End_1 : 1457868109 , Gap_End_2 : 1457868116, GeoHash : gbsg1x, Lon1 : 48.383675 , Lat1 : -4.49531, Lon2 : 48.379524 , Lat2 : -4.497045 }
Suspicious RendezVous : { Vessel_1 : 227580520, Vessel_2 : 227574020 , Gap_End_1 : 1457868116 , Gap_End_2 : 1457892820, GeoHash : gbsg1x, Lon1 : 48.379524 , Lat1 : -4.497045, Lon2 : 48.383633 , Lat2 : -4.495332 }
Suspicious RendezVous : { Vessel_1 : 227635680, Vessel_2 : 228160000 , Gap_End_1 : 1457892821 , Gap_End_2 : 1457892822, GeoHash : gbsdk3, Lon1 : 48.218613 , Lat1 : -4.7320166, Lon2 : 48.2181 , Lat2 : -4.725945 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227580520 , Gap_End_1 : 1457892820 , Gap_End_2 : 1457892826, GeoHash : gbsg1x, Lon1 : 48.383633 , Lat1 : -4.495332, Lon2 : 48.37964 , Lat2 : -4.49713 }
Suspicious RendezVous : { Vessel_1 : 227580520, Vessel_2 : 227574020 , Gap_End_1 : 1457892826 , Gap_End_2 : 1457915449, GeoHash : gbsg1x, Lon1 : 48.37964 , Lat1 : -4.49713, Lon2 : 48.383667 , Lat2 : -4.49531 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227580520 , Gap_End_1 : 1457915449 , Gap_End_2 : 1457915496, GeoHash : gbsg1x, Lon1 : 48.383667 , Lat1 : -4.49531, Lon2 : 48.379555 , Lat2 : -4.497102 }
