Suspicious RendezVous : { Vessel_1 : 227123700, Vessel_2 : 227307000 , Gap_End_1 : 1443652858 , Gap_End_2 : 1443669058, GeoHash : gbs97, Lon1 : 48.06434 , Lat1 : -4.75397, Lon2 : 48.050255 , Lat2 : -4.7670083 }
Suspicious RendezVous : { Vessel_1 : 228931000, Vessel_2 : 227019400 , Gap_End_1 : 1443663479 , Gap_End_2 : 1443685722, GeoHash : gbscu, Lon1 : 48.123917 , Lat1 : -4.389477, Lon2 : 48.120174 , Lat2 : -4.3602467 }
Suspicious RendezVous : { Vessel_1 : 227008170, Vessel_2 : 228017700 , Gap_End_1 : 1443676613 , Gap_End_2 : 1443686197, GeoHash : gbse4, Lon1 : 48.374767 , Lat1 : -4.809065, Lon2 : 48.37467 , Lat2 : -4.810653 }
Suspicious RendezVous : { Vessel_1 : 228293000, Vessel_2 : 227002630 , Gap_End_1 : 1443664682 , Gap_End_2 : 1443687105, GeoHash : gbs9h, Lon1 : 48.02883 , Lat1 : -4.7395315, Lon2 : 48.032074 , Lat2 : -4.7406483 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227005550 , Gap_End_1 : 1443674313 , Gap_End_2 : 1443692993, GeoHash : gbsg1, Lon1 : 48.382393 , Lat1 : -4.4965467, Lon2 : 48.38069 , Lat2 : -4.487282 }
Suspicious RendezVous : { Vessel_1 : 227005550, Vessel_2 : 227592820 , Gap_End_1 : 1443692993 , Gap_End_2 : 1443694940, GeoHash : gbsg1, Lon1 : 48.38069 , Lat1 : -4.487282, Lon2 : 48.3665 , Lat2 : -4.4886885 }
Suspicious RendezVous : { Vessel_1 : 228929000, Vessel_2 : 227307000 , Gap_End_1 : 1443694716 , Gap_End_2 : 1443695296, GeoHash : gbs3p, Lon1 : 48.00144 , Lat1 : -4.9657884, Lon2 : 47.9916 , Lat2 : -4.9556866 }
Suspicious RendezVous : { Vessel_1 : 228138000, Vessel_2 : 228929000 , Gap_End_1 : 1443662867 , Gap_End_2 : 1443697808, GeoHash : gbs8d, Lon1 : 47.913975 , Lat1 : -4.81703, Lon2 : 47.921997 , Lat2 : -4.824518 }
Suspicious RendezVous : { Vessel_1 : 227592820, Vessel_2 : 227705102 , Gap_End_1 : 1443694940 , Gap_End_2 : 1443698841, GeoHash : gbsg1, Lon1 : 48.3665 , Lat1 : -4.4886885, Lon2 : 48.382454 , Lat2 : -4.496723 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227005550 , Gap_End_1 : 1443698841 , Gap_End_2 : 1443701009, GeoHash : gbsg1, Lon1 : 48.382454 , Lat1 : -4.496723, Lon2 : 48.37343 , Lat2 : -4.4883866 }
Suspicious RendezVous : { Vessel_1 : 227005550, Vessel_2 : 227705102 , Gap_End_1 : 1443701009 , Gap_End_2 : 1443701060, GeoHash : gbsg1, Lon1 : 48.37343 , Lat1 : -4.4883866, Lon2 : 48.382454 , Lat2 : -4.496703 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227612860 , Gap_End_1 : 1443701060 , Gap_End_2 : 1443707446, GeoHash : gbsg1, Lon1 : 48.382454 , Lat1 : -4.496703, Lon2 : 48.38254 , Lat2 : -4.49576 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227612860 , Gap_End_1 : 1443705612 , Gap_End_2 : 1443707446, GeoHash : gbsg1, Lon1 : 48.382473 , Lat1 : -4.4966865, Lon2 : 48.38254 , Lat2 : -4.49576 }
Suspicious RendezVous : { Vessel_1 : 227612860, Vessel_2 : 227592820 , Gap_End_1 : 1443707446 , Gap_End_2 : 1443707982, GeoHash : gbsg1, Lon1 : 48.38254 , Lat1 : -4.49576, Lon2 : 48.367214 , Lat2 : -4.4890566 }
Suspicious RendezVous : { Vessel_1 : 227307000, Vessel_2 : 227109900 , Gap_End_1 : 1443669058 , Gap_End_2 : 1443709899, GeoHash : gbs97, Lon1 : 48.050255 , Lat1 : -4.7670083, Lon2 : 48.0462 , Lat2 : -4.768618 }
Suspicious RendezVous : { Vessel_1 : 227002630, Vessel_2 : 227109900 , Gap_End_1 : 1443687105 , Gap_End_2 : 1443712464, GeoHash : gbs9h, Lon1 : 48.032074 , Lat1 : -4.7406483, Lon2 : 47.99328 , Lat2 : -4.7068467 }
