Suspicious RendezVous : { Vessel_1 : 228035600, Vessel_2 : 228109000 , Gap_End_1 : 1446115413 , Gap_End_2 : 1446115415, GeoHash : gbs8y4, Lon1 : 47.95702 , Lat1 : -4.65694, Lon2 : 47.95915 , Lat2 : -4.6548967 }
Suspicious RendezVous : { Vessel_1 : 227592820, Vessel_2 : 227612860 , Gap_End_1 : 1446116553 , Gap_End_2 : 1446120956, GeoHash : gbsfc2, Lon1 : 48.29661 , Lat1 : -4.507672, Lon2 : 48.29606 , Lat2 : -4.512008 }
Suspicious RendezVous : { Vessel_1 : 220625000, Vessel_2 : 257739000 , Gap_End_1 : 1446132917 , Gap_End_2 : 1446133106, GeoHash : gbsg4x, Lon1 : 48.383507 , Lat1 : -4.451095, Lon2 : 48.383118 , Lat2 : -4.4539485 }
Suspicious RendezVous : { Vessel_1 : 227002330, Vessel_2 : 227003050 , Gap_End_1 : 1446132832 , Gap_End_2 : 1446133139, GeoHash : gbsg1z, Lon1 : 48.3807 , Lat1 : -4.4859385, Lon2 : 48.38078 , Lat2 : -4.4859433 }
Suspicious RendezVous : { Vessel_1 : 227592820, Vessel_2 : 227705102 , Gap_End_1 : 1446122614 , Gap_End_2 : 1446135094, GeoHash : gbsg1x, Lon1 : 48.382465 , Lat1 : -4.4967017, Lon2 : 48.378693 , Lat2 : -4.4950385 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227580520 , Gap_End_1 : 1446135094 , Gap_End_2 : 1446135610, GeoHash : gbsg1x, Lon1 : 48.378693 , Lat1 : -4.4950385, Lon2 : 48.380085 , Lat2 : -4.496765 }
Suspicious RendezVous : { Vessel_1 : 257739000, Vessel_2 : 220625000 , Gap_End_1 : 1446133106 , Gap_End_2 : 1446162078, GeoHash : gbsg4x, Lon1 : 48.383118 , Lat1 : -4.4539485, Lon2 : 48.383503 , Lat2 : -4.451103 }
Suspicious RendezVous : { Vessel_1 : 220625000, Vessel_2 : 257739000 , Gap_End_1 : 1446162078 , Gap_End_2 : 1446162085, GeoHash : gbsg4x, Lon1 : 48.383503 , Lat1 : -4.451103, Lon2 : 48.383183 , Lat2 : -4.453932 }
Suspicious RendezVous : { Vessel_1 : 227003050, Vessel_2 : 227002330 , Gap_End_1 : 1446133139 , Gap_End_2 : 1446162173, GeoHash : gbsg1z, Lon1 : 48.38078 , Lat1 : -4.4859433, Lon2 : 48.3807 , Lat2 : -4.485922 }
Suspicious RendezVous : { Vessel_1 : 227003050, Vessel_2 : 227002330 , Gap_End_1 : 1446162119 , Gap_End_2 : 1446162173, GeoHash : gbsg1z, Lon1 : 48.38079 , Lat1 : -4.48589, Lon2 : 48.3807 , Lat2 : -4.485922 }
Suspicious RendezVous : { Vessel_1 : 227580520, Vessel_2 : 227592820 , Gap_End_1 : 1446135610 , Gap_End_2 : 1446162232, GeoHash : gbsg1x, Lon1 : 48.380085 , Lat1 : -4.496765, Lon2 : 48.38242 , Lat2 : -4.4966016 }
