Suspicious RendezVous : { Vessel_1 : 228931000, Vessel_2 : 228157000 , Gap_End_1 : 1443653398 , Gap_End_2 : 1443654239, GeoHash : gbscts, Lon1 : 48.099056 , Lat1 : -4.32078, Lon2 : 48.098175 , Lat2 : -4.32566 }
Suspicious RendezVous : { Vessel_1 : 228157000, Vessel_2 : 228190600 , Gap_End_1 : 1443654239 , Gap_End_2 : 1443655108, GeoHash : gbscts, Lon1 : 48.098175 , Lat1 : -4.32566, Lon2 : 48.09865 , Lat2 : -4.326832 }
Suspicious RendezVous : { Vessel_1 : 228190600, Vessel_2 : 228843000 , Gap_End_1 : 1443655108 , Gap_End_2 : 1443656008, GeoHash : gbscts, Lon1 : 48.09865 , Lat1 : -4.326832, Lon2 : 48.098293 , Lat2 : -4.326542 }
Suspicious RendezVous : { Vessel_1 : 228843000, Vessel_2 : 228190600 , Gap_End_1 : 1443656008 , Gap_End_2 : 1443656456, GeoHash : gbscts, Lon1 : 48.098293 , Lat1 : -4.326542, Lon2 : 48.098633 , Lat2 : -4.326812 }
Suspicious RendezVous : { Vessel_1 : 228190600, Vessel_2 : 228157000 , Gap_End_1 : 1443656456 , Gap_End_2 : 1443657160, GeoHash : gbscts, Lon1 : 48.098633 , Lat1 : -4.326812, Lon2 : 48.098175 , Lat2 : -4.3256965 }
Suspicious RendezVous : { Vessel_1 : 228157000, Vessel_2 : 228190600 , Gap_End_1 : 1443657160 , Gap_End_2 : 1443657307, GeoHash : gbscts, Lon1 : 48.098175 , Lat1 : -4.3256965, Lon2 : 48.09865 , Lat2 : -4.326825 }
Suspicious RendezVous : { Vessel_1 : 228190600, Vessel_2 : 228843000 , Gap_End_1 : 1443657307 , Gap_End_2 : 1443661617, GeoHash : gbscts, Lon1 : 48.09865 , Lat1 : -4.326825, Lon2 : 48.098274 , Lat2 : -4.326365 }
Suspicious RendezVous : { Vessel_1 : 228190600, Vessel_2 : 228843000 , Gap_End_1 : 1443658497 , Gap_End_2 : 1443661617, GeoHash : gbscts, Lon1 : 48.09864 , Lat1 : -4.326823, Lon2 : 48.098274 , Lat2 : -4.326365 }
Suspicious RendezVous : { Vessel_1 : 228843000, Vessel_2 : 228374000 , Gap_End_1 : 1443661617 , Gap_End_2 : 1443671903, GeoHash : gbscts, Lon1 : 48.098274 , Lat1 : -4.326365, Lon2 : 48.098915 , Lat2 : -4.3224316 }
Suspicious RendezVous : { Vessel_1 : 228843000, Vessel_2 : 228374000 , Gap_End_1 : 1443663227 , Gap_End_2 : 1443671903, GeoHash : gbscts, Lon1 : 48.09831 , Lat1 : -4.326385, Lon2 : 48.098915 , Lat2 : -4.3224316 }
Suspicious RendezVous : { Vessel_1 : 228843000, Vessel_2 : 228374000 , Gap_End_1 : 1443667908 , Gap_End_2 : 1443671903, GeoHash : gbscts, Lon1 : 48.098286 , Lat1 : -4.3264265, Lon2 : 48.098915 , Lat2 : -4.3224316 }
Suspicious RendezVous : { Vessel_1 : 228374000, Vessel_2 : 228843000 , Gap_End_1 : 1443671903 , Gap_End_2 : 1443672347, GeoHash : gbscts, Lon1 : 48.098915 , Lat1 : -4.3224316, Lon2 : 48.098312 , Lat2 : -4.326405 }
