Suspicious RendezVous : { Vessel_1 : 228157000, Vessel_2 : 228138000 , Gap_End_1 : 1443654239 , Gap_End_2 : 1443676439, GeoHash : gbscts40, Lon1 : 48.098175 , Lat1 : -4.32566, Lon2 : 48.098286 , Lat2 : -4.325848 }
Suspicious RendezVous : { Vessel_1 : 228157000, Vessel_2 : 228138000 , Gap_End_1 : 1443657160 , Gap_End_2 : 1443676439, GeoHash : gbscts40, Lon1 : 48.098175 , Lat1 : -4.3256965, Lon2 : 48.098286 , Lat2 : -4.325848 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227612860 , Gap_End_1 : 1443698841 , Gap_End_2 : 1443761276, GeoHash : gbsg1xv8, Lon1 : 48.382454 , Lat1 : -4.496723, Lon2 : 48.382538 , Lat2 : -4.4966135 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227612860 , Gap_End_1 : 1443701060 , Gap_End_2 : 1443761276, GeoHash : gbsg1xv8, Lon1 : 48.382454 , Lat1 : -4.496703, Lon2 : 48.382538 , Lat2 : -4.4966135 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227612860 , Gap_End_1 : 1443705612 , Gap_End_2 : 1443761276, GeoHash : gbsg1xv8, Lon1 : 48.382473 , Lat1 : -4.4966865, Lon2 : 48.382538 , Lat2 : -4.4966135 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227612860 , Gap_End_1 : 1443732781 , Gap_End_2 : 1443761276, GeoHash : gbsg1xv8, Lon1 : 48.382446 , Lat1 : -4.496587, Lon2 : 48.382538 , Lat2 : -4.4966135 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227612860 , Gap_End_1 : 1443760121 , Gap_End_2 : 1443761276, GeoHash : gbsg1xv8, Lon1 : 48.382435 , Lat1 : -4.496568, Lon2 : 48.382538 , Lat2 : -4.4966135 }
Suspicious RendezVous : { Vessel_1 : 227612860, Vessel_2 : 227574020 , Gap_End_1 : 1443761276 , Gap_End_2 : 1443784641, GeoHash : gbsg1xv8, Lon1 : 48.382538 , Lat1 : -4.4966135, Lon2 : 48.38245 , Lat2 : -4.496703 }
Suspicious RendezVous : { Vessel_1 : 236401000, Vessel_2 : 226178000 , Gap_End_1 : 1443797577 , Gap_End_2 : 1443847337, GeoHash : gbscts55, Lon1 : 48.098667 , Lat1 : -4.3243318, Lon2 : 48.09869 , Lat2 : -4.324168 }
Suspicious RendezVous : { Vessel_1 : 227860000, Vessel_2 : 227410000 , Gap_End_1 : 1443992123 , Gap_End_2 : 1443995120, GeoHash : gbscts1w, Lon1 : 48.09922 , Lat1 : -4.3265266, Lon2 : 48.0992 , Lat2 : -4.3263984 }
Suspicious RendezVous : { Vessel_1 : 227860000, Vessel_2 : 227410000 , Gap_End_1 : 1443993143 , Gap_End_2 : 1443995120, GeoHash : gbscts1w, Lon1 : 48.099205 , Lat1 : -4.3265285, Lon2 : 48.0992 , Lat2 : -4.3263984 }
Suspicious RendezVous : { Vessel_1 : 227410000, Vessel_2 : 228015700 , Gap_End_1 : 1443986239 , Gap_End_2 : 1444037879, GeoHash : gbscts40, Lon1 : 48.0982 , Lat1 : -4.3256316, Lon2 : 48.098186 , Lat2 : -4.3255267 }
Suspicious RendezVous : { Vessel_1 : 227410000, Vessel_2 : 228015700 , Gap_End_1 : 1443987900 , Gap_End_2 : 1444037879, GeoHash : gbscts40, Lon1 : 48.098217 , Lat1 : -4.3255982, Lon2 : 48.098186 , Lat2 : -4.3255267 }
Suspicious RendezVous : { Vessel_1 : 228015700, Vessel_2 : 226179000 , Gap_End_1 : 1444037879 , Gap_End_2 : 1444110079, GeoHash : gbscts40, Lon1 : 48.098186 , Lat1 : -4.3255267, Lon2 : 48.09815 , Lat2 : -4.3258386 }
Suspicious RendezVous : { Vessel_1 : 228015700, Vessel_2 : 226177000 , Gap_End_1 : 1444026359 , Gap_End_2 : 1444115093, GeoHash : gbscts42, Lon1 : 48.098198 , Lat1 : -4.325515, Lon2 : 48.09818 , Lat2 : -4.325275 }
Suspicious RendezVous : { Vessel_1 : 228015700, Vessel_2 : 226177000 , Gap_End_1 : 1444027499 , Gap_End_2 : 1444115093, GeoHash : gbscts42, Lon1 : 48.0982 , Lat1 : -4.325485, Lon2 : 48.09818 , Lat2 : -4.325275 }
Suspicious RendezVous : { Vessel_1 : 228015700, Vessel_2 : 226177000 , Gap_End_1 : 1444028238 , Gap_End_2 : 1444115093, GeoHash : gbscts42, Lon1 : 48.098194 , Lat1 : -4.325505, Lon2 : 48.09818 , Lat2 : -4.325275 }
Suspicious RendezVous : { Vessel_1 : 228015700, Vessel_2 : 226177000 , Gap_End_1 : 1444029438 , Gap_End_2 : 1444115093, GeoHash : gbscts42, Lon1 : 48.098194 , Lat1 : -4.3254766, Lon2 : 48.09818 , Lat2 : -4.325275 }
Suspicious RendezVous : { Vessel_1 : 228015700, Vessel_2 : 226177000 , Gap_End_1 : 1444032599 , Gap_End_2 : 1444115093, GeoHash : gbscts42, Lon1 : 48.098167 , Lat1 : -4.3255067, Lon2 : 48.09818 , Lat2 : -4.325275 }
Suspicious RendezVous : { Vessel_1 : 228015700, Vessel_2 : 226177000 , Gap_End_1 : 1444036479 , Gap_End_2 : 1444115093, GeoHash : gbscts42, Lon1 : 48.098175 , Lat1 : -4.325475, Lon2 : 48.09818 , Lat2 : -4.325275 }
Suspicious RendezVous : { Vessel_1 : 228015700, Vessel_2 : 226177000 , Gap_End_1 : 1444040398 , Gap_End_2 : 1444115093, GeoHash : gbscts42, Lon1 : 48.098175 , Lat1 : -4.3254967, Lon2 : 48.09818 , Lat2 : -4.325275 }
Suspicious RendezVous : { Vessel_1 : 228015700, Vessel_2 : 226177000 , Gap_End_1 : 1444044139 , Gap_End_2 : 1444115093, GeoHash : gbscts42, Lon1 : 48.098152 , Lat1 : -4.325472, Lon2 : 48.09818 , Lat2 : -4.325275 }
