Suspicious RendezVous : { Vessel_1 : 228762000, Vessel_2 : 228186700 , Gap_End_1 : 1456187628 , Gap_End_2 : 1456187629, GeoHash : gbsg1m, Lon1 : 48.36989 , Lat1 : -4.5147233, Lon2 : 48.37084 , Lat2 : -4.5125885 }
Suspicious RendezVous : { Vessel_1 : 250000870, Vessel_2 : 227941000 , Gap_End_1 : 1456187625 , Gap_End_2 : 1456187630, GeoHash : gbscts, Lon1 : 48.099083 , Lat1 : -4.326598, Lon2 : 48.100086 , Lat2 : -4.3272233 }
Suspicious RendezVous : { Vessel_1 : 228160000, Vessel_2 : 228293000 , Gap_End_1 : 1456187654 , Gap_End_2 : 1456187673, GeoHash : gbscte, Lon1 : 48.09762 , Lat1 : -4.3232365, Lon2 : 48.09807 , Lat2 : -4.324515 }
Suspicious RendezVous : { Vessel_1 : 228186700, Vessel_2 : 228762000 , Gap_End_1 : 1456187629 , Gap_End_2 : 1456192969, GeoHash : gbsg1m, Lon1 : 48.37084 , Lat1 : -4.5125885, Lon2 : 48.36989 , Lat2 : -4.514702 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227705102 , Gap_End_1 : 1456187631 , Gap_End_2 : 1456192981, GeoHash : gbsg1x, Lon1 : 48.382366 , Lat1 : -4.4965935, Lon2 : 48.382454 , Lat2 : -4.4966965 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227705102 , Gap_End_1 : 1456192979 , Gap_End_2 : 1456192981, GeoHash : gbsg1x, Lon1 : 48.38242 , Lat1 : -4.4966235, Lon2 : 48.382454 , Lat2 : -4.4966965 }
Suspicious RendezVous : { Vessel_1 : 227941000, Vessel_2 : 250000870 , Gap_End_1 : 1456187630 , Gap_End_2 : 1456192986, GeoHash : gbscts, Lon1 : 48.100086 , Lat1 : -4.3272233, Lon2 : 48.0991 , Lat2 : -4.3265815 }
Suspicious RendezVous : { Vessel_1 : 227941000, Vessel_2 : 250000870 , Gap_End_1 : 1456192970 , Gap_End_2 : 1456192986, GeoHash : gbscts, Lon1 : 48.10009 , Lat1 : -4.3272333, Lon2 : 48.0991 , Lat2 : -4.3265815 }
Suspicious RendezVous : { Vessel_1 : 228762000, Vessel_2 : 228186700 , Gap_End_1 : 1456192969 , Gap_End_2 : 1456193001, GeoHash : gbsg1m, Lon1 : 48.36989 , Lat1 : -4.514702, Lon2 : 48.37084 , Lat2 : -4.5125885 }
Suspicious RendezVous : { Vessel_1 : 228186700, Vessel_2 : 228762000 , Gap_End_1 : 1456193001 , Gap_End_2 : 1456198258, GeoHash : gbsg1m, Lon1 : 48.37084 , Lat1 : -4.5125885, Lon2 : 48.369907 , Lat2 : -4.514745 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227574020 , Gap_End_1 : 1456192981 , Gap_End_2 : 1456198259, GeoHash : gbsg1x, Lon1 : 48.382454 , Lat1 : -4.4966965, Lon2 : 48.382435 , Lat2 : -4.496578 }
