Suspicious RendezVous : { Vessel_1 : 227635210, Vessel_2 : 227574020 , Gap_End_1 : 1448374269 , Gap_End_2 : 1448408517, GeoHash : gbsg1x, Lon1 : 48.382454 , Lat1 : -4.496693, Lon2 : 48.383667 , Lat2 : -4.49541 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227705102 , Gap_End_1 : 1448408517 , Gap_End_2 : 1448408521, GeoHash : gbsg1x, Lon1 : 48.383667 , Lat1 : -4.49541, Lon2 : 48.38244 , Lat2 : -4.49669 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227580520 , Gap_End_1 : 1448408521 , Gap_End_2 : 1448408526, GeoHash : gbsg1x, Lon1 : 48.38244 , Lat1 : -4.49669, Lon2 : 48.379513 , Lat2 : -4.4970617 }
Suspicious RendezVous : { Vessel_1 : 228131000, Vessel_2 : 227391000 , Gap_End_1 : 1448326247 , Gap_End_2 : 1448408588, GeoHash : gbscts, Lon1 : 48.099373 , Lat1 : -4.32727, Lon2 : 48.098286 , Lat2 : -4.3264117 }
Suspicious RendezVous : { Vessel_1 : 228131000, Vessel_2 : 227391000 , Gap_End_1 : 1448349487 , Gap_End_2 : 1448408588, GeoHash : gbscts, Lon1 : 48.09941 , Lat1 : -4.3271585, Lon2 : 48.098286 , Lat2 : -4.3264117 }
Suspicious RendezVous : { Vessel_1 : 227580520, Vessel_2 : 227574020 , Gap_End_1 : 1448408526 , Gap_End_2 : 1448440471, GeoHash : gbsg1x, Lon1 : 48.379513 , Lat1 : -4.4970617, Lon2 : 48.38368 , Lat2 : -4.495425 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227635210 , Gap_End_1 : 1448440471 , Gap_End_2 : 1448440472, GeoHash : gbsg1x, Lon1 : 48.38368 , Lat1 : -4.495425, Lon2 : 48.378696 , Lat2 : -4.494933 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227016100 , Gap_End_1 : 1448349497 , Gap_End_2 : 1448440473, GeoHash : gbsg1f, Lon1 : 48.35129 , Lat1 : -4.4859166, Lon2 : 48.352688 , Lat2 : -4.48484 }
Suspicious RendezVous : { Vessel_1 : 227635210, Vessel_2 : 227705102 , Gap_End_1 : 1448440472 , Gap_End_2 : 1448440477, GeoHash : gbsg1x, Lon1 : 48.378696 , Lat1 : -4.494933, Lon2 : 48.38242 , Lat2 : -4.4966917 }
Suspicious RendezVous : { Vessel_1 : 227391000, Vessel_2 : 226179000 , Gap_End_1 : 1448408588 , Gap_End_2 : 1448440534, GeoHash : gbscts, Lon1 : 48.098286 , Lat1 : -4.3264117, Lon2 : 48.09824 , Lat2 : -4.3259134 }
Suspicious RendezVous : { Vessel_1 : 226179000, Vessel_2 : 226177000 , Gap_End_1 : 1448440534 , Gap_End_2 : 1448440570, GeoHash : gbscts, Lon1 : 48.09824 , Lat1 : -4.3259134, Lon2 : 48.098198 , Lat2 : -4.3255014 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227580520 , Gap_End_1 : 1448440477 , Gap_End_2 : 1448441087, GeoHash : gbsg1x, Lon1 : 48.38242 , Lat1 : -4.4966917, Lon2 : 48.37954 , Lat2 : -4.4970384 }
Suspicious RendezVous : { Vessel_1 : 999999999, Vessel_2 : 228186700 , Gap_End_1 : 1448440485 , Gap_End_2 : 1448441420, GeoHash : gbsg1m, Lon1 : 48.36916 , Lat1 : -4.51424, Lon2 : 48.370834 , Lat2 : -4.512665 }
Suspicious RendezVous : { Vessel_1 : 226177000, Vessel_2 : 228228800 , Gap_End_1 : 1448440570 , Gap_End_2 : 1448461807, GeoHash : gbscts, Lon1 : 48.098198 , Lat1 : -4.3255014, Lon2 : 48.09824 , Lat2 : -4.3259416 }
Suspicious RendezVous : { Vessel_1 : 227580520, Vessel_2 : 227574020 , Gap_End_1 : 1448441087 , Gap_End_2 : 1448461812, GeoHash : gbsg1x, Lon1 : 48.37954 , Lat1 : -4.4970384, Lon2 : 48.38365 , Lat2 : -4.4954634 }
Suspicious RendezVous : { Vessel_1 : 227580520, Vessel_2 : 227574020 , Gap_End_1 : 1448461808 , Gap_End_2 : 1448461812, GeoHash : gbsg1x, Lon1 : 48.379513 , Lat1 : -4.4970965, Lon2 : 48.38365 , Lat2 : -4.4954634 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227705102 , Gap_End_1 : 1448461812 , Gap_End_2 : 1448461814, GeoHash : gbsg1x, Lon1 : 48.38365 , Lat1 : -4.4954634, Lon2 : 48.38241 , Lat2 : -4.496578 }
Suspicious RendezVous : { Vessel_1 : 228186700, Vessel_2 : 999999999 , Gap_End_1 : 1448441420 , Gap_End_2 : 1448461825, GeoHash : gbsg1m, Lon1 : 48.370834 , Lat1 : -4.512665, Lon2 : 48.369137 , Lat2 : -4.5142584 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227635210 , Gap_End_1 : 1448461814 , Gap_End_2 : 1448461831, GeoHash : gbsg1x, Lon1 : 48.38241 , Lat1 : -4.496578, Lon2 : 48.382454 , Lat2 : -4.4966784 }
Suspicious RendezVous : { Vessel_1 : 227867000, Vessel_2 : 227380000 , Gap_End_1 : 1448349549 , Gap_End_2 : 1448461832, GeoHash : gbscte, Lon1 : 48.09785 , Lat1 : -4.32345, Lon2 : 48.098015 , Lat2 : -4.323765 }
Suspicious RendezVous : { Vessel_1 : 228228800, Vessel_2 : 226177000 , Gap_End_1 : 1448461807 , Gap_End_2 : 1448461889, GeoHash : gbscts, Lon1 : 48.09824 , Lat1 : -4.3259416, Lon2 : 48.09818 , Lat2 : -4.3254666 }
Suspicious RendezVous : { Vessel_1 : 227635210, Vessel_2 : 227574020 , Gap_End_1 : 1448461831 , Gap_End_2 : 1448483037, GeoHash : gbsg1x, Lon1 : 48.382454 , Lat1 : -4.4966784, Lon2 : 48.38365 , Lat2 : -4.4954414 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227705102 , Gap_End_1 : 1448483037 , Gap_End_2 : 1448483041, GeoHash : gbsg1x, Lon1 : 48.38365 , Lat1 : -4.4954414, Lon2 : 48.382465 , Lat2 : -4.4967017 }
Suspicious RendezVous : { Vessel_1 : 226177000, Vessel_2 : 227391000 , Gap_End_1 : 1448461889 , Gap_End_2 : 1448483098, GeoHash : gbscts, Lon1 : 48.09818 , Lat1 : -4.3254666, Lon2 : 48.098293 , Lat2 : -4.32644 }
